datetime,open,high,low,close,volume,quote_volume,trades
2025-09-24 13:00:00,211.96,212.26,211.47,211.79,18727.222,3968200.34222,13687
2025-09-24 13:15:00,211.79,212.37,211.55,211.96,17649.204,3742087.58957,15319
2025-09-24 13:30:00,211.95,213.14,211.68,212.41,39759.383,8442269.74597,38727
2025-09-24 13:45:00,212.42,213.01,211.43,211.62,29964.559,6355969.49379,30210
2025-09-24 14:00:00,211.61,212.56,211.41,212.39,24613.994,5219107.36096,25367
2025-09-24 14:15:00,212.39,213.82,212.37,213.41,37987.847,8088146.63159,28773
2025-09-24 14:30:00,213.41,214.17,213.14,214.14,44290.263,9456213.64534,27543
2025-09-24 14:45:00,214.14,216.24,213.83,215.61,108823.023,23436143.33698,52913
2025-09-24 15:00:00,215.62,216.05,214.5,214.66,95136.024,20477764.51101,36857
2025-09-24 15:15:00,214.67,215.54,214.67,215.19,70543.38,15178668.6228,26606
2025-09-24 15:30:00,215.18,215.38,214.39,214.45,54116.513,11624606.91935,27032
2025-09-24 15:45:00,214.46,214.53,213.28,213.61,61895.251,13237887.55869,39834
2025-09-24 16:00:00,213.6,213.85,213.21,213.35,33525.016,7156263.96302,29504
2025-09-24 16:15:00,213.35,214.11,213.26,213.88,24313.468,5197051.57893,20058
2025-09-24 16:30:00,213.89,214.45,213.5,214.2,24861.02,5319514.46342,16728
2025-09-24 16:45:00,214.2,214.26,213.69,213.87,14074.171,3011125.58334,11326
2025-09-24 17:00:00,213.88,214.89,213.5,214.6,21737.198,4654713.24373,17231
2025-09-24 17:15:00,214.6,214.6,214.17,214.43,12658.884,2713956.26292,11256
2025-09-24 17:30:00,214.44,215.51,214.39,215.26,37031.196,7968028.19308,14569
2025-09-24 17:45:00,215.26,215.28,214.65,215.17,15594.852,3353221.0807,15733
2025-09-24 18:00:00,215.17,215.2,214.03,214.1,16288.0,3495829.22415,13716
2025-09-24 18:15:00,214.1,214.29,213.39,214.2,33111.154,7074063.09649,13708
2025-09-24 18:30:00,214.19,214.36,213.9,213.91,8839.197,1892554.65708,10115
2025-09-24 18:45:00,213.9,214.04,213.35,213.92,10634.898,2273183.35299,11969
2025-09-24 19:00:00,213.93,214.21,213.71,213.94,8367.414,1790560.38621,9880
2025-09-24 19:15:00,213.93,214.16,213.4,213.53,19715.525,4213799.7475,10561
2025-09-24 19:30:00,213.52,213.53,212.41,212.68,27132.78,5777519.81707,18806
2025-09-24 19:45:00,212.68,213.73,212.51,213.18,31348.706,6687678.00504,20703
2025-09-24 20:00:00,213.18,213.24,212.28,212.75,21228.048,4516450.96003,19191
2025-09-24 20:15:00,212.75,212.97,212.35,212.41,13104.896,2787671.25797,15816
2025-09-24 20:30:00,212.42,212.43,210.9,211.82,55281.856,11703018.09767,29991
2025-09-24 20:45:00,211.81,212.55,211.79,212.11,13303.965,2823537.53941,8691
2025-09-24 21:00:00,212.11,212.42,211.87,212.37,14474.897,3070271.08561,8134
2025-09-24 21:15:00,212.37,212.53,211.89,212.53,9388.426,1992200.01758,8110
2025-09-24 21:30:00,212.52,212.61,211.69,211.74,14075.674,2984743.17202,8541
2025-09-24 21:45:00,211.74,212.08,210.72,211.28,13858.406,2931376.81299,11276
2025-09-24 22:00:00,211.28,212.24,210.94,212.22,19178.49,4058104.36678,20265
2025-09-24 22:15:00,212.21,212.32,211.11,211.37,21192.352,4482323.60201,17221
2025-09-24 22:30:00,211.36,211.8,211.18,211.48,17327.397,3664122.37696,17095
2025-09-24 22:45:00,211.47,211.82,211.14,211.74,16758.447,3543599.27577,16469
2025-09-24 23:00:00,211.75,212.22,211.5,212.12,14462.24,3064439.52972,14854
2025-09-24 23:15:00,212.12,212.24,211.53,211.79,16677.719,3533688.65733,13799
2025-09-24 23:30:00,211.79,212.09,211.36,211.6,16603.256,3513993.82551,14854
2025-09-24 23:45:00,211.59,211.94,211.3,211.6,18706.004,3957524.97243,16152
2025-09-25 00:00:00,211.61,212.44,211.35,212.19,25099.734,5323966.23148,16556
2025-09-25 00:15:00,212.19,212.22,210.42,210.55,37990.776,8019898.88817,30878
2025-09-25 00:30:00,210.55,211.5,210.37,211.11,19154.014,4041427.7688,24547
2025-09-25 00:45:00,211.12,211.42,210.26,210.73,32711.317,6893178.56476,26503
2025-09-25 01:00:00,210.72,211.22,209.8,210.82,52707.284,11089076.9086,41609
2025-09-25 01:15:00,210.81,211.12,210.32,210.68,30980.101,6527801.35313,29507
2025-09-25 01:30:00,210.68,211.07,208.62,209.01,77582.131,16257670.09504,53590
2025-09-25 01:45:00,209.0,209.52,207.73,208.22,65860.676,13737224.69019,48182
2025-09-25 02:00:00,208.23,209.84,208.17,208.87,41140.47,8596705.4914,30951
2025-09-25 02:15:00,208.88,208.91,206.82,208.31,83520.415,17355543.0713,51611
2025-09-25 02:30:00,208.31,211.97,208.26,209.93,93715.039,19728740.20321,63043
2025-09-25 02:45:00,209.93,210.64,209.79,210.06,25368.753,5330787.73751,23180
2025-09-25 03:00:00,210.06,210.13,208.94,209.11,29001.137,6072102.45691,18128
2025-09-25 03:15:00,209.11,209.26,206.3,206.44,111381.065,23115120.11204,50308
2025-09-25 03:30:00,206.45,207.22,206.02,206.71,81726.493,16892175.03088,47048
2025-09-25 03:45:00,206.72,207.4,206.44,207.3,40986.326,8476085.2344,26105
2025-09-25 04:00:00,207.3,207.63,205.71,205.95,74827.127,15461513.12397,35402
2025-09-25 04:15:00,205.95,206.15,202.76,204.44,218926.292,44725276.23593,100244
2025-09-25 04:30:00,204.44,204.75,203.38,204.66,113924.902,23232038.24384,53741
2025-09-25 04:45:00,204.66,204.87,203.08,204.36,114468.628,23342862.64914,56918
2025-09-25 05:00:00,204.35,205.1,203.25,204.64,75538.988,15420976.34036,40087
2025-09-25 05:15:00,204.63,205.91,204.27,205.87,46878.675,9624031.44949,26912
2025-09-25 05:30:00,205.86,205.88,204.89,205.53,31909.304,6553053.6167,19864
2025-09-25 05:45:00,205.52,205.91,204.92,205.45,20981.348,4311503.92198,19652
2025-09-25 06:00:00,205.44,205.73,204.01,204.16,34126.687,6989947.66694,24225
2025-09-25 06:15:00,204.16,204.55,203.33,203.8,55810.009,11382046.6428,37579
2025-09-25 06:30:00,203.81,204.73,203.36,203.55,32090.271,6547784.64465,29254
2025-09-25 06:45:00,203.54,204.21,203.47,203.64,31833.126,6485445.31712,24441
2025-09-25 07:00:00,203.63,204.64,203.3,204.02,40145.903,8191325.47063,29594
2025-09-25 07:15:00,204.01,205.24,203.85,204.91,39097.314,8006329.805,27024
2025-09-25 07:30:00,204.91,205.07,204.26,204.95,16392.688,3355735.09667,19317
2025-09-25 07:45:00,204.95,205.07,203.82,204.19,20451.263,4180899.8189,18384
2025-09-25 08:00:00,204.19,205.52,204.08,205.37,37073.826,7599656.11988,23268
2025-09-25 08:15:00,205.38,205.77,204.68,205.35,25175.797,5169845.06796,14542
2025-09-25 08:30:00,205.35,205.35,204.08,204.28,23514.468,4815903.58699,14051
2025-09-25 08:45:00,204.29,204.39,203.62,204.32,33299.702,6792854.91464,23169
2025-09-25 09:00:00,204.32,205.35,204.01,205.34,20767.552,4252422.48694,15436
2025-09-25 09:15:00,205.35,205.88,204.83,205.53,38698.064,7947327.67296,20757
2025-09-25 09:30:00,205.52,205.91,203.93,203.98,55865.338,11450100.51146,22534
2025-09-25 09:45:00,203.98,203.98,201.76,202.25,155001.201,31411740.49024,49941
2025-09-25 10:00:00,202.26,203.4,201.96,203.12,38952.736,7891217.57613,27350
2025-09-25 10:15:00,203.13,203.69,202.89,203.04,28960.309,5885768.05577,15737
2025-09-25 10:30:00,203.04,203.65,202.69,202.97,19202.902,3901403.89024,19054
2025-09-25 10:45:00,202.96,203.12,201.93,202.0,38932.589,7879255.62791,23320
2025-09-25 11:00:00,202.0,202.53,201.2,201.61,56589.498,11417562.63408,32017
2025-09-25 11:15:00,201.62,201.74,200.69,201.27,67034.777,13487079.17541,35690
2025-09-25 11:30:00,201.26,201.63,200.9,201.23,53616.016,10787907.83537,27307
2025-09-25 11:45:00,201.24,201.47,200.86,201.35,36489.202,7342231.72643,22866
2025-09-25 12:00:00,201.34,202.57,201.18,202.28,34180.171,6906693.95733,20875
2025-09-25 12:15:00,202.28,202.28,197.43,198.28,204887.989,40860614.17743,52989
2025-09-25 12:30:00,198.3,200.7,197.03,200.02,236428.307,47143286.37065,105963
2025-09-25 12:45:00,200.02,200.35,198.18,198.59,91009.932,18135388.29039,52576
2025-09-25 13:00:00,198.59,199.62,197.57,199.38,115400.419,22877048.06081,71871
2025-09-25 13:15:00,199.38,201.32,199.08,201.14,98695.605,19777062.98023,54226
2025-09-25 13:30:00,201.13,201.62,198.96,199.52,110508.305,22089286.08829,69017
2025-09-25 13:45:00,199.52,200.89,199.42,200.79,83148.709,16647611.63627,52317
2025-09-25 14:00:00,200.79,202.33,200.79,202.16,60447.279,12182471.42304,39336
2025-09-25 14:15:00,202.15,203.35,202.15,202.6,77021.948,15623950.80958,44634
2025-09-25 14:30:00,202.61,204.06,202.59,203.05,52501.764,10672031.10012,35740
2025-09-25 14:45:00,203.05,203.14,202.28,202.65,26509.141,5375387.32021,21978
2025-09-25 15:00:00,202.65,203.27,201.98,202.15,51714.662,10475617.55328,27942
2025-09-25 15:15:00,202.16,202.33,200.89,201.02,41724.416,8406394.49656,27974
2025-09-25 15:30:00,201.02,201.55,200.76,200.79,37021.384,7449187.9102,23784
2025-09-25 15:45:00,200.79,201.27,200.37,201.15,36979.866,7423955.27705,22267
2025-09-25 16:00:00,201.14,201.95,200.73,201.58,46349.585,9334995.20541,28172
2025-09-25 16:15:00,201.57,201.58,198.74,199.15,80743.058,16132556.15443,43842
2025-09-25 16:30:00,199.16,199.97,199.0,199.44,42613.943,8502370.83251,26109
2025-09-25 16:45:00,199.44,199.83,198.38,198.72,44382.857,8833208.57412,34317
